名前:

日付:

                    都道府県庁所在地クイズ (問題番号 10)

1. 山梨県の都道府県庁所在地は?
 A. 甲府市
 B. 高知市
 C. 仙台市
 D. 宮崎市

2. 長野県の都道府県庁所在地は?
 A. 長野市
 B. 大分市
 C. 甲府市
 D. 大津市

3. 愛媛県の都道府県庁所在地は?
 A. 松山市
 B. 奈良市
 C. 金沢市
 D. 那覇市

4. 鳥取県の都道府県庁所在地は?
 A. 盛岡市
 B. 山形市
 C. 大津市
 D. 鳥取市

5. 大阪府の都道府県庁所在地は?
 A. 水戸市
 B. 大阪市
 C. 岡山市
 D. 奈良市

6. 福島県の都道府県庁所在地は?
 A. 福岡市
 B. 青森市
 C. 福島市
 D. 水戸市

7. 新潟県の都道府県庁所在地は?
 A. 札幌市
 B. 松山市
 C. 仙台市
 D. 新潟市

8. 徳島県の都道府県庁所在地は?
 A. 福島市
 B. 金沢市
 C. 千葉市
 D. 徳島市

9. 大分県の都道府県庁所在地は?
 A. 大分市
 B. 那覇市
 C. 佐賀市
 D. 名古屋市

10. 熊本県の都道府県庁所在地は?
 A. 秋田市
 B. 熊本市
 C. 盛岡市
 D. 福島市

11. 静岡県の都道府県庁所在地は?
 A. 高知市
 B. 長野市
 C. 津市
 D. 静岡市

12. 秋田県の都道府県庁所在地は?
 A. 福岡市
 B. 秋田市
 C. 静岡市
 D. 那覇市

13. 茨城県の都道府県庁所在地は?
 A. 高知市
 B. 千葉市
 C. 秋田市
 D. 水戸市

14. 富山県の都道府県庁所在地は?
 A. 熊本市
 B. 千葉市
 C. 東京
 D. 富山市

15. 岩手県の都道府県庁所在地は?
 A. 長崎市
 B. 盛岡市
 C. 佐賀市
 D. 前橋市

16. 栃木県の都道府県庁所在地は?
 A. 宇都宮市
 B. 広島市
 C. 富山市
 D. 和歌山市

17. 青森県の都道府県庁所在地は?
 A. 大津市
 B. 青森市
 C. 大阪市
 D. 横浜市

18. 東京都の都道府県庁所在地は?
 A. 松江市
 B. 東京
 C. 松山市
 D. 鹿児島市

19. 和歌山県の都道府県庁所在地は?
 A. 和歌山市
 B. 岡山市
 C. 秋田市
 D. 青森市

20. 滋賀県の都道府県庁所在地は?
 A. 大津市
 B. 高知市
 C. 静岡市
 D. 金沢市

21. 宮崎県の都道府県庁所在地は?
 A. 宮崎市
 B. 鹿児島市
 C. 長崎市
 D. 宇都宮市

22. 石川県の都道府県庁所在地は?
 A. 福島市
 B. 金沢市
 C. 鹿児島市
 D. 長崎市

23. 香川県の都道府県庁所在地は?
 A. 仙台市
 B. 高松市
 C. 宮崎市
 D. 水戸市

24. 高知県の都道府県庁所在地は?
 A. 大分市
 B. 青森市
 C. 岐阜市
 D. 高知市

25. 鹿児島県の都道府県庁所在地は?
 A. 鹿児島市
 B. 広島市
 C. 富山市
 D. 福井市

26. 奈良県の都道府県庁所在地は?
 A. 甲府市
 B. 熊本市
 C. 奈良市
 D. 佐賀市

27. 山形県の都道府県庁所在地は?
 A. 松山市
 B. 山形市
 C. 高松市
 D. 大阪市

28. 群馬県の都道府県庁所在地は?
 A. 和歌山市
 B. 前橋市
 C. 山口市
 D. 鳥取市

29. 福井県の都道府県庁所在地は?
 A. 富山市
 B. 福井市
 C. 京都市
 D. 金沢市

30. 岐阜県の都道府県庁所在地は?
 A. 福井市
 B. 津市
 C. 岐阜市
 D. 奈良市

31. 神奈川県の都道府県庁所在地は?
 A. さいたま市
 B. 高知市
 C. 徳島市
 D. 横浜市

32. 宮城県の都道府県庁所在地は?
 A. 仙台市
 B. 長野市
 C. 福井市
 D. 名古屋市

33. 島根県の都道府県庁所在地は?
 A. 静岡市
 B. 名古屋市
 C. 松江市
 D. 盛岡市

34. 山口県の都道府県庁所在地は?
 A. 徳島市
 B. 山口市
 C. 福井市
 D. 水戸市

35. 岡山県の都道府県庁所在地は?
 A. 松山市
 B. 高知市
 C. 岡山市
 D. 金沢市

36. 京都府の都道府県庁所在地は?
 A. 京都市
 B. 宮崎市
 C. 千葉市
 D. 大阪市

37. 佐賀県の都道府県庁所在地は?
 A. 大阪市
 B. 那覇市
 C. 大津市
 D. 佐賀市

38. 長崎県の都道府県庁所在地は?
 A. 高知市
 B. 長崎市
 C. 仙台市
 D. 前橋市

39. 三重県の都道府県庁所在地は?
 A. 水戸市
 B. 盛岡市
 C. 津市
 D. 山形市

40. 北海道の都道府県庁所在地は?
 A. 仙台市
 B. 高知市
 C. 福島市
 D. 札幌市

41. 千葉県の都道府県庁所在地は?
 A. 水戸市
 B. 仙台市
 C. 札幌市
 D. 千葉市

42. 兵庫県の都道府県庁所在地は?
 A. 神戸市
 B. 徳島市
 C. さいたま市
 D. 津市

43. 福岡県の都道府県庁所在地は?
 A. 福岡市
 B. 福井市
 C. 和歌山市
 D. 宮崎市

44. 愛知県の都道府県庁所在地は?
 A. 名古屋市
 B. 水戸市
 C. 佐賀市
 D. 岐阜市

45. 沖縄県の都道府県庁所在地は?
 A. 津市
 B. 京都市
 C. 那覇市
 D. 盛岡市

46. 埼玉県の都道府県庁所在地は?
 A. 松山市
 B. 静岡市
 C. 奈良市
 D. さいたま市

47. 広島県の都道府県庁所在地は?
 A. 札幌市
 B. 広島市
 C. 鳥取市
 D. 仙台市

