名前:

日付:

                    都道府県庁所在地クイズ (問題番号 18)

1. 鹿児島県の都道府県庁所在地は?
 A. 金沢市
 B. 名古屋市
 C. 津市
 D. 鹿児島市

2. 青森県の都道府県庁所在地は?
 A. 宇都宮市
 B. 横浜市
 C. 福井市
 D. 青森市

3. 新潟県の都道府県庁所在地は?
 A. 新潟市
 B. 青森市
 C. 大阪市
 D. 甲府市

4. 岐阜県の都道府県庁所在地は?
 A. 大阪市
 B. 福岡市
 C. 松江市
 D. 岐阜市

5. 福井県の都道府県庁所在地は?
 A. 高知市
 B. 静岡市
 C. 那覇市
 D. 福井市

6. 島根県の都道府県庁所在地は?
 A. 津市
 B. 横浜市
 C. 松江市
 D. 広島市

7. 和歌山県の都道府県庁所在地は?
 A. 和歌山市
 B. 高松市
 C. 佐賀市
 D. 宮崎市

8. 神奈川県の都道府県庁所在地は?
 A. 熊本市
 B. 奈良市
 C. 盛岡市
 D. 横浜市

9. 沖縄県の都道府県庁所在地は?
 A. 高松市
 B. 那覇市
 C. 宮崎市
 D. 京都市

10. 静岡県の都道府県庁所在地は?
 A. 秋田市
 B. 静岡市
 C. 山形市
 D. 千葉市

11. 香川県の都道府県庁所在地は?
 A. 佐賀市
 B. 金沢市
 C. 高松市
 D. 鹿児島市

12. 愛知県の都道府県庁所在地は?
 A. 名古屋市
 B. 鹿児島市
 C. 福井市
 D. 青森市

13. 群馬県の都道府県庁所在地は?
 A. 前橋市
 B. 札幌市
 C. 岡山市
 D. 熊本市

14. 千葉県の都道府県庁所在地は?
 A. さいたま市
 B. 千葉市
 C. 岡山市
 D. 山口市

15. 熊本県の都道府県庁所在地は?
 A. 秋田市
 B. 熊本市
 C. 名古屋市
 D. 山口市

16. 愛媛県の都道府県庁所在地は?
 A. 宮崎市
 B. 高知市
 C. 静岡市
 D. 松山市

17. 京都府の都道府県庁所在地は?
 A. 京都市
 B. 神戸市
 C. 静岡市
 D. 和歌山市

18. 長崎県の都道府県庁所在地は?
 A. 長崎市
 B. 水戸市
 C. 福井市
 D. 岡山市

19. 北海道の都道府県庁所在地は?
 A. 大分市
 B. 佐賀市
 C. 札幌市
 D. 徳島市

20. 佐賀県の都道府県庁所在地は?
 A. 秋田市
 B. 鹿児島市
 C. 佐賀市
 D. 甲府市

21. 埼玉県の都道府県庁所在地は?
 A. さいたま市
 B. 静岡市
 C. 神戸市
 D. 高松市

22. 山梨県の都道府県庁所在地は?
 A. 山形市
 B. 大分市
 C. 甲府市
 D. 松江市

23. 兵庫県の都道府県庁所在地は?
 A. 神戸市
 B. 福岡市
 C. 宇都宮市
 D. 千葉市

24. 奈良県の都道府県庁所在地は?
 A. 秋田市
 B. 岡山市
 C. 広島市
 D. 奈良市

25. 岩手県の都道府県庁所在地は?
 A. 神戸市
 B. 札幌市
 C. 津市
 D. 盛岡市

26. 福岡県の都道府県庁所在地は?
 A. 鳥取市
 B. 横浜市
 C. 福岡市
 D. 青森市

27. 滋賀県の都道府県庁所在地は?
 A. 大津市
 B. 青森市
 C. 宇都宮市
 D. 横浜市

28. 岡山県の都道府県庁所在地は?
 A. 金沢市
 B. 岡山市
 C. 広島市
 D. 福岡市

29. 宮崎県の都道府県庁所在地は?
 A. 長野市
 B. 宇都宮市
 C. 横浜市
 D. 宮崎市

30. 山口県の都道府県庁所在地は?
 A. 静岡市
 B. 山形市
 C. 松山市
 D. 山口市

31. 石川県の都道府県庁所在地は?
 A. 宮崎市
 B. 高松市
 C. 神戸市
 D. 金沢市

32. 秋田県の都道府県庁所在地は?
 A. 水戸市
 B. 秋田市
 C. 大分市
 D. 松江市

33. 宮城県の都道府県庁所在地は?
 A. 仙台市
 B. 奈良市
 C. 福井市
 D. 秋田市

34. 栃木県の都道府県庁所在地は?
 A. 神戸市
 B. 静岡市
 C. 福井市
 D. 宇都宮市

35. 徳島県の都道府県庁所在地は?
 A. 鳥取市
 B. 奈良市
 C. 高知市
 D. 徳島市

36. 山形県の都道府県庁所在地は?
 A. 和歌山市
 B. 奈良市
 C. 山形市
 D. 岐阜市

37. 長野県の都道府県庁所在地は?
 A. 仙台市
 B. 長野市
 C. 熊本市
 D. 神戸市

38. 東京都の都道府県庁所在地は?
 A. 東京
 B. 神戸市
 C. 岡山市
 D. 松江市

39. 大分県の都道府県庁所在地は?
 A. 大分市
 B. さいたま市
 C. 高松市
 D. 熊本市

40. 福島県の都道府県庁所在地は?
 A. 広島市
 B. 松江市
 C. 福島市
 D. 松山市

41. 鳥取県の都道府県庁所在地は?
 A. 前橋市
 B. 鹿児島市
 C. 鳥取市
 D. 佐賀市

42. 大阪府の都道府県庁所在地は?
 A. 大阪市
 B. 岡山市
 C. さいたま市
 D. 山形市

43. 三重県の都道府県庁所在地は?
 A. 和歌山市
 B. 徳島市
 C. 津市
 D. 奈良市

44. 茨城県の都道府県庁所在地は?
 A. 宮崎市
 B. 奈良市
 C. 鹿児島市
 D. 水戸市

45. 高知県の都道府県庁所在地は?
 A. 奈良市
 B. 福岡市
 C. 高知市
 D. 長崎市

46. 富山県の都道府県庁所在地は?
 A. 静岡市
 B. 佐賀市
 C. 富山市
 D. 岐阜市

47. 広島県の都道府県庁所在地は?
 A. 徳島市
 B. 千葉市
 C. 神戸市
 D. 広島市

